0 0 0 0 0.00 0
0.260792 98118 18352 148388 162.45 7034344143
0.538576 146846 24603 204929 53.18 9845214607
0.81636 191707 29636 256045 6.18 12220354114
1.09414 237212 34501 307073 0.00 14889293344
1.37193 283538 39878 359432 95.82 17843199961
1.64971 332838 45735 415570 61.64 21244524959
1.9275 372412 48871 458994 73.00 24734222577
2.2053 413126 53596 504563 69.00 27734173215
2.48308 445662 57154 541893 64.09 30472010171
2.76087 488279 61715 589656 58.55 33708495006
3.03865 528614 65607 634325 21.36 36898347736
3.31644 564715 69665 674972 48.91 39452627431
3.59423 596410 72973 710483 26.00 41896629667
3.87201 630183 76209 747926 19.45 44388041848
4.1498 670113 79664 791467 31.00 47429642479
4.42758 700438 82831 825137 37.91 50201897503
4.70537 731690 85706 858221 20.73 52879498380
4.98315 763620 90118 895510 55.91 55362721305
5.26094 792109 93428 928029 36.55 57644313791
5.53872 824932 97019 964505 4.91 60293082584
5.81651 859843 102213 1004171 8.73 63002459396
6.09429 890296 104971 1038597 5.36 65611465229
6.37207 924901 108893 1076727 30.27 68220872679
6.64986 961130 114011 1119046 15.36 71015521607
6.92764 993110 118759 1155884 25.36 73654794532
7.20542 1025423 122031 1190233 30.18 76373151339
7.4832 1054827 126508 1226018 47.73 79226641732
7.761 1080766 128917 1254368 10.09 81554565257
8.03878 1107595 131382 1283259 41.27 83899014874
8.31656 1132588 133445 1309635 15.45 86238725687
8.59435 1164460 136784 1345499 21.91 88959001285
8.87213 1195883 141081 1380588 45.45 91818231615
9.14992 1225881 144508 1414537 22.18 94309086180
9.4277 1255582 148471 1450299 18.36 96754899756
9.70549 1278534 150125 1474669 0.64 98698381641
9.98327 1279529 150361 1475211 0.82 99282300171
10.2611 1303038 151194 1500062 25.36 101718611477
10.5388 1331269 156692 1533473 2.27 104362381341
10.8166 1360875 160792 1566314 11.73 107333573946
11.0944 1386213 163050 1593780 42.09 109445295216
11.3722 1415476 166380 1627852 24.00 112379599182
11.65 1450548 170308 1665686 5.27 115467917462
11.9278 1483600 174044 1704700 26.73 118476904599
12.2055 1510707 177108 1734385 9.09 120875744673
12.4833 1541415 180216 1767429 1.00 123475120125
12.7611 1570596 182670 1798820 6.55 126061769911
13.0389 1607755 188691 1842686 26.64 129132260120
13.3167 1638657 194222 1879269 23.64 131665753204
13.5945 1658942 195033 1899563 20.00 134336847313
13.8722 1690161 199866 1935820 21.27 137380124439
14.15 1723835 204590 1974104 52.64 140217276677
14.4278 1758083 211416 2014967 41.09 143176360711
14.7056 1792361 215654 2054322 11.45 146035234758
14.9834 1822858 219479 2090019 26.00 148652940018
15.2612 1859556 224174 2129775 22.55 151806458148
15.539 1895495 228892 2170851 30.55 154962134828
15.8167 1928835 233635 2208651 29.73 157640610610
16.0945 1952428 235287 2233854 44.36 160217350305
16.3723 1977937 238097 2263970 1.45 162253935025
16.6501 1989312 238353 2276476 23.55 163441134238
16.9279 2025540 242334 2313966 52.36 166561909705
17.2057 2059462 246285 2351775 30.27 169615084444
17.4835 2087762 249007 2382870 41.82 171905956167
17.7612 2119559 254339 2420490 27.73 174383842589
18.039 2154212 258257 2458927 20.18 177133700570
18.3168 2183439 264924 2495799 45.73 179427929856
18.5946 2207989 267036 2521914 39.45 181267904016
18.8724 2243343 277261 2567320 46.64 183974863984
19.1502 2271241 281447 2599463 16.82 186748578113
19.4279 2303675 284222 2635697 31.45 189571379968
19.7057 2333902 287870 2669026 27.27 192059511061
19.9835 2358264 292386 2697494 35.36 194226278737
20.2613 2387790 296446 2731539 11.73 196505619032
20.5391 2412982 300372 2760403 28.27 198691879010
20.8169 2441363 305772 2794367 13.09 201840163343
21.0946 2470731 308734 2826900 16.00 204349295133
21.3724 2494663 311172 2853066 34.18 206796031030
21.6502 2530636 315306 2894754 19.91 209759969191
21.9282 2556143 317758 2921228 14.09 212018601987
22.206 2580425 324850 2952240 12.36 214359993850
22.4837 2611212 328581 2987338 28.55 217314607529
22.7615 2643092 332060 3022764 15.91 219997451785
23.0393 2670492 335273 3053139 1.09 222563127178
23.3171 2702173 338336 3088528 35.55 225257014536
23.5949 2735269 343598 3126509 27.55 228007158756
23.8726 2764417 347470 3159368 21.73 230622784205
