8       457847 86352436
16      228264 76891293
24      178663 71261564
32      152485 89952721
40      105839 69019209
48      104553 76029875
56      88031  69907235
64      57259  81916260
72      62794  83153331
80      65091  72604872
88      43063  69276605
96      44926  64042949
104     69977  66822534
112     40490  66360748
120     41531  71988256
128     54274  92623091
136     31696  77792740
144     29027  73834279
152     44991  112851211
160     30746  74214474
168     19285  64760115
176     36250  60703967
184     17442  63392567
192     20241  66524308
200     19214  71089679
208     18594  72824972
216     21126  78109110
224     22698  84576488
232     27212  62648631
240     19281  69774968
248     18364  72020704
256     24481  69265746
264     14322  68513643
272     14345  76896353
280     14404  72262590
288     16704  74060892
296     25503  85116373
304     14524  71078577
312     18283  69447561
320     14349  66061682
328     13674  77034630
336     15173  75087338
344     15158  71494684
352     11608  68226061
360     22707  84075382
368     11719  67638485
376     10759  65639113
384     11442  63980877
392     14769  60879279
400     11613  56638098
408     12713  71585233
416     12122  56858100
424     14743  61289597
432     20372  103133227
440     11888  62384171
448     14095  68965236
456     11734  54088951
464     10818  72465545
472     10767  65205705
480     10809  63292401
488     17412  67942285
496     12734  62435165
504     10419  67316040
512     17852  97028618
